requirement_id,requirement_desc,api,api_alias,test_case,metric,gate,owner,status,evidence_path
R-ACC-001,账号凭证验证成功可视化,POST /api/v1/supply/accounts/verify,-,UI-SUP-ACC-001,verify_success_rate_pct,SUP-004,QA,PLANNED,tests/supply/ui_sup_acc_report_2026-03-28.md
R-ACC-002,挂载需风险确认与审计,POST /api/v1/supply/accounts,-,UI-SUP-ACC-002,audit_coverage_pct,SUP-004,QA,PLANNED,tests/supply/ui_sup_acc_report_2026-03-28.md
R-ACC-003,账号状态不跳态,POST /api/v1/supply/accounts/{accountId}/activate|POST /api/v1/supply/accounts/{accountId}/suspend,POST /api/v1/supply/accounts/{id}/activate|POST /api/v1/supply/accounts/{id}/suspend,UI-SUP-ACC-003|UI-SUP-ACC-004,state_transition_integrity_pct,SUP-004,QA,PLANNED,tests/supply/ui_sup_acc_report_2026-03-28.md
R-PKG-002,套餐发布满足保护价与状态约束,POST /api/v1/supply/packages/{packageId}/publish,POST /api/v1/supply/packages/{id}/publish,UI-SUP-PKG-002,price_floor_violation_pass_through,SUP-005,QA,PLANNED,tests/supply/ui_sup_pkg_report_2026-03-29.md
R-PKG-003,批量调价部分失败可回执,POST /api/v1/supply/packages/batch-price,-,UI-SUP-PKG-005,batch_receipt_completeness_pct,SUP-005,QA,PLANNED,tests/supply/ui_sup_pkg_report_2026-03-29.md
R-SET-001,提现发起防重复防双扣,POST /api/v1/supply/settlements/withdraw,-,UI-SUP-SET-002|CON-SET-001,billing_conflict_rate_pct,SUP-006,QA+FIN,PLANNED,tests/supply/ui_sup_set_report_2026-03-29.md
R-SET-002,处理中/已完成不可撤销,POST /api/v1/supply/settlements/{settlementId}/cancel,POST /api/v1/supply/settlements/{id}/cancel,UI-SUP-SET-003,state_jump_success_rate,SUP-006,QA,PLANNED,tests/supply/ui_sup_set_report_2026-03-29.md
R-SET-003,对账单导出不泄露敏感信息,GET /api/v1/supply/settlements/{settlementId}/statement,GET /api/v1/supply/settlements/{id}/statement,UI-SUP-SET-004|SEC-SUP-001,supplier_credential_exposure_events,SUP-006|SUP-007,SEC+QA,PLANNED,tests/supply/sec_sup_boundary_report_2026-03-30.md
R-SEC-001,仅平台凭证入站,ALL northbound APIs,-,SEC-SUP-002,platform_credential_ingress_coverage_pct,SUP-007,SEC,PLANNED,tests/supply/sec_sup_boundary_report_2026-03-30.md
R-SEC-002,外部query key全拒绝,ALL northbound APIs,-,SEC-SUP-002,query_key_external_reject_rate_pct,SUP-007,SEC,PLANNED,tests/supply/sec_sup_boundary_report_2026-03-30.md
R-SEC-003,需求方不可绕平台直连,egress policy + detections,-,SEC-SUP-002|SEC-DIRECT-001,direct_supplier_call_by_consumer_events,SUP-007,SEC+SRE,PLANNED,tests/supply/sec_sup_boundary_report_2026-03-30.md
R-UX-001,按钮可见性和禁用规则正确,UI-level,-,UI-DESIGN-QA-001~020,SUP_UI_button_rule_pass_rate,SUP-003|SUP-008,QA+UIUX,PLANNED,tests/supply/ui_design_qa_cases_v1_2026-03-25.md
R-PLAT-001,组织级预算阈值与配额控制,POST /api/v1/platform/budgets/{budgetId}/rules,-,PLAT-BUD-001|PLAT-BUD-002,budget_alert_hit_rate_pct,REL-002|DEP-002,PLAT+FIN,PLANNED,docs/product/global_p0_to_supply_platform_mapping_v1_2026-03-27.md
R-PLAT-002,统一告警规则与升级通知,POST /api/v1/platform/alerts/rules,-,PLAT-ALERT-001|PLAT-ALERT-002,alert_delivery_success_pct,REL-002|DEP-002,SRE+PLAT,PLANNED,docs/product/global_p0_to_supply_platform_mapping_v1_2026-03-27.md
R-PLAT-003,组织级账单导出,GET /api/v1/platform/billing/export,-,PLAT-BILL-001,billing_export_success_pct,REL-002|SUP-008,FIN+PLAT,PLANNED,docs/product/global_p0_to_supply_platform_mapping_v1_2026-03-27.md
